,gene_ids
AL627309.6,ENSG00000268903.1
AL627309.5,ENSG00000241860.7
MTND1P23,ENSG00000225972.1
MTND2P28,ENSG00000225630.1
MTCO1P12,ENSG00000237973.1
MTCO3P12,ENSG00000198744.5
AL669831.1,ENSG00000228327.3
AL669831.4,ENSG00000230092.7
LINC00115,ENSG00000225880.5
PLEKHN1,ENSG00000187583.11
HES4,ENSG00000188290.11
ISG15,ENSG00000187608.10
AGRN,ENSG00000188157.15
TNFRSF18,ENSG00000186891.14
TNFRSF4,ENSG00000186827.11
ACAP3,ENSG00000131584.19
CCNL2,ENSG00000221978.12
AL645728.1,ENSG00000215014.5
MIB2,ENSG00000197530.12
MMP23B,ENSG00000189409.14
SLC35E2B,ENSG00000189339.12
CDK11A,ENSG00000008128.23
AL031282.2,ENSG00000268575.1
SLC35E2A,ENSG00000215790.7
NADK,ENSG00000008130.15
PRKCZ,ENSG00000067606.17
SKI,ENSG00000157933.10
PLCH2,ENSG00000149527.18
AL139246.5,ENSG00000272449.2
MEGF6,ENSG00000162591.16
TPRG1L,ENSG00000158109.15
TP73-AS1,ENSG00000227372.12
SMIM1,ENSG00000235169.9
DFFB,ENSG00000169598.16
GPR153,ENSG00000158292.7
AL031848.2,ENSG00000271746.1
ZBTB48,ENSG00000204859.13
KLHL21,ENSG00000162413.16
UTS2,ENSG00000049247.13
TNFRSF9,ENSG00000049249.9
RERE,ENSG00000142599.19
MIR34AHG,ENSG00000228526.7
H6PD,ENSG00000049239.13
RBP7,ENSG00000162444.12
KIF1B,ENSG00000054523.17
PGD,ENSG00000142657.21
CASZ1,ENSG00000130940.15
TARDBP,ENSG00000120948.18
AL109811.2,ENSG00000271895.2
MTOR,ENSG00000198793.13
FBXO2,ENSG00000116661.11
FBXO44,ENSG00000132879.14
DRAXIN,ENSG00000162490.7
AGTRAP,ENSG00000177674.16
MTHFR,ENSG00000177000.13
CLCN6,ENSG00000011021.23
AL021155.4,ENSG00000285646.2
PLOD1,ENSG00000083444.17
MFN2,ENSG00000116688.17
MIIP,ENSG00000116691.11
TNFRSF1B,ENSG00000028137.19
VPS13D,ENSG00000048707.15
DHRS3,ENSG00000162496.9
EFHD2,ENSG00000142634.13
DNAJC16,ENSG00000116138.13
DDI2,ENSG00000197312.12
AL450998.2,ENSG00000179743.4
FBXO42,ENSG00000037637.11
CROCCP3,ENSG00000080947.15
NBPF1,ENSG00000219481.10
CROCCP2,ENSG00000215908.10
CROCC,ENSG00000058453.17
BX284668.5,ENSG00000238142.2
BX284668.6,ENSG00000272426.1
PADI2,ENSG00000117115.13
PADI4,ENSG00000159339.13
ARHGEF10L,ENSG00000074964.17
IFFO2,ENSG00000169991.11
SLC66A1,ENSG00000040487.13
OTUD3,ENSG00000169914.6
CAMK2N1,ENSG00000162545.6
CDA,ENSG00000158825.6
PINK1,ENSG00000158828.8
NBPF3,ENSG00000142794.18
ALPL,ENSG00000162551.14
ZBTB40,ENSG00000184677.18
C1QA,ENSG00000173372.17
C1QC,ENSG00000159189.12
C1QB,ENSG00000173369.16
EPHB2,ENSG00000133216.16
ZNF436,ENSG00000125945.15
ID3,ENSG00000117318.9
IFNLR1,ENSG00000185436.12
CLIC4,ENSG00000169504.15
RUNX3,ENSG00000020633.18
RSRP1,ENSG00000117616.18
LDLRAP1,ENSG00000157978.12
SELENON,ENSG00000162430.17
MTFR1L,ENSG00000117640.18
PAQR7,ENSG00000182749.5
STMN1,ENSG00000117632.23
PAFAH2,ENSG00000158006.14
UBXN11,ENSG00000158062.20
CD52,ENSG00000169442.9
ZNF683,ENSG00000176083.17
HMGN2,ENSG00000198830.11
SLC9A1,ENSG00000090020.11
WDTC1,ENSG00000142784.16
SYTL1,ENSG00000142765.18
MAP3K6,ENSG00000142733.17
AHDC1,ENSG00000126705.15
FGR,ENSG00000000938.13
IFI6,ENSG00000126709.15
THEMIS2,ENSG00000130775.16
PTAFR,ENSG00000169403.12
AL353622.1,ENSG00000270605.1
SESN2,ENSG00000130766.5
PHACTR4,ENSG00000204138.13
LINC01715,ENSG00000229388.1
EPB41,ENSG00000159023.21
MATN1-AS1,ENSG00000186056.10
SERINC2,ENSG00000168528.12
FAM167B,ENSG00000183615.6
MARCKSL1,ENSG00000175130.7
FAM229A,ENSG00000225828.1
S100PBP,ENSG00000116497.18
PHC2,ENSG00000134686.18
AC114490.3,ENSG00000284773.1
ZMYM6,ENSG00000163867.17
ZMYM1,ENSG00000197056.11
ZMYM4,ENSG00000146463.12
KIAA0319L,ENSG00000142687.18
AC004865.2,ENSG00000239636.1
AGO4,ENSG00000134698.11
AGO1,ENSG00000092847.13
AGO3,ENSG00000126070.20
EVA1B,ENSG00000142694.6
STK40,ENSG00000196182.11
CSF3R,ENSG00000119535.18
ZC3H12A,ENSG00000163874.11
CDCA8,ENSG00000134690.11
MTF1,ENSG00000188786.10
INPP5B,ENSG00000204084.13
FHL3,ENSG00000183386.10
MACF1,ENSG00000127603.29
PPIEL,ENSG00000243970.3
MYCL,ENSG00000116990.11
COL9A2,ENSG00000049089.15
SMAP2,ENSG00000084070.12
NFYC-AS1,ENSG00000272145.1
CITED4,ENSG00000179862.7
AC093151.5,ENSG00000286640.1
HIVEP3,ENSG00000127124.16
FOXJ3,ENSG00000198815.9
CCDC30,ENSG00000186409.18
AC098484.3,ENSG00000283580.3
ERMAP,ENSG00000164010.15
CDC20,ENSG00000117399.14
SZT2,ENSG00000198198.17
HYI,ENSG00000178922.16
ST3GAL3,ENSG00000126091.21
ARMH1,ENSG00000198520.12
PLK3,ENSG00000173846.13
BTBD19,ENSG00000222009.8
PTCH2,ENSG00000117425.14
PRDX1,ENSG00000117450.14
PIK3R3,ENSG00000117461.15
FAAH,ENSG00000117480.16
